UID,Year,Location,Competition,Phase,Class,Rank,Bib,Athlete Name,Nation,Gate 1,Gate 2,Gate 3,Gate 4,Gate 5,Gate 6,Gate 7,Gate 8,Gate 9,Gate 10,Gate 11,Gate 12,Gate 13,Gate 14,Gate 15,Gate 16,Gate 17,Gate 18,Gate 19,Gate 20,Gate 21,Gate 22,Gate 23,Gate 24,Gate 25,Raw Time,Total Penalties,Total Time,Heats Format,Raw % Behind,Total % Behind,Year of Birth,Competition ID,Athlete ID,Phase ID
2024 Seu World Cup 5 Heat 1 K1M 16,2024,Seu,World Cup 5,Heat 1,K1M,16,26,Michal PASIUT,POL,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,88.36,2,90.36,Heat 1 Progression,102.86%,105.19%,1991,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Michal PASIUT,2024 Seu World Cup 5 Heat 1 K1M Michal PASIUT
2024 Seu World Cup 5 Heat 1 K1M 17,2024,Seu,World Cup 5,Heat 1,K1M,17,2,Giovanni DE GENNARO,ITA,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,86.63,4,90.63,Heat 1 Progression,100.85%,105.51%,1992,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Giovanni DE GENNARO,2024 Seu World Cup 5 Heat 1 K1M Giovanni DE GENNARO
2024 Seu World Cup 5 Heat 1 K1M 18,2024,Seu,World Cup 5,Heat 1,K1M,18,30,Mathieu DESNOS,BRA,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,88.89,2,90.89,Heat 1 Progression,103.48%,105.81%,1994,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Mathieu DESNOS,2024 Seu World Cup 5 Heat 1 K1M Mathieu DESNOS
2024 Seu World Cup 5 Heat 1 K1M 19,2024,Seu,World Cup 5,Heat 1,K1M,19,32,Manuel OCHOA,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.93,0,90.93,Heat 1 Progression,105.86%,105.86%,1998,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Manuel OCHOA,2024 Seu World Cup 5 Heat 1 K1M Manuel OCHOA
2024 Seu World Cup 5 Heat 1 K1M 20,2024,Seu,World Cup 5,Heat 1,K1M,20,15,Ziga Lin HOCEVAR,SLO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.03,0,91.03,Heat 1 Progression,105.97%,105.97%,2007,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Ziga Lin HOCEVAR,2024 Seu World Cup 5 Heat 1 K1M Ziga Lin HOCEVAR
2024 Seu World Cup 5 Heat 1 K1M 21,2024,Seu,World Cup 5,Heat 1,K1M,21,16,Noah HEGGE,GER,-,-,-,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,87.21,4,91.21,Heat 1 Progression,101.53%,106.18%,1999,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Noah HEGGE,2024 Seu World Cup 5 Heat 1 K1M Noah HEGGE
2024 Seu World Cup 5 Heat 1 K1M 22,2024,Seu,World Cup 5,Heat 1,K1M,22,27,David LLORENTE,ESP,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89.64,2,91.64,Heat 1 Progression,104.35%,106.68%,1996,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M David LLORENTE,2024 Seu World Cup 5 Heat 1 K1M David LLORENTE
2024 Seu World Cup 5 Heat 1 K1M 23,2024,Seu,World Cup 5,Heat 1,K1M,23,6,Titouan CASTRYCK,FRA,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,89.75,2,91.75,Heat 1 Progression,104.48%,106.81%,2004,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Titouan CASTRYCK,2024 Seu World Cup 5 Heat 1 K1M Titouan CASTRYCK
2024 Seu World Cup 5 Heat 1 K1M 24,2024,Seu,World Cup 5,Heat 1,K1M,24,22,Gabriel DE COSTER,BEL,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89.8,2,91.8,Heat 1 Progression,104.54%,106.87%,2000,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Gabriel DE COSTER,2024 Seu World Cup 5 Heat 1 K1M Gabriel DE COSTER
2024 Seu World Cup 5 Heat 1 K1M 25,2024,Seu,World Cup 5,Heat 1,K1M,25,24,Stefan HENGST,GER,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,87.98,4,91.98,Heat 1 Progression,102.42%,107.08%,1994,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Stefan HENGST,2024 Seu World Cup 5 Heat 1 K1M Stefan HENGST
2024 Seu World Cup 5 Heat 1 K1M 26,2024,Seu,World Cup 5,Heat 1,K1M,26,14,Mario LEITNER,AUT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,90.04,2,92.04,Heat 1 Progression,104.82%,107.15%,1997,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Mario LEITNER,2024 Seu World Cup 5 Heat 1 K1M Mario LEITNER
2024 Seu World Cup 5 Heat 1 K1M 27,2024,Seu,World Cup 5,Heat 1,K1M,27,18,Xabier FERRAZZI,ITA,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2,-,-,-,-,88.45,4,92.45,Heat 1 Progression,102.97%,107.63%,2005,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Xabier FERRAZZI,2024 Seu World Cup 5 Heat 1 K1M Xabier FERRAZZI
2024 Seu World Cup 5 Heat 1 K1M 28,2024,Seu,World Cup 5,Heat 1,K1M,28,60,Jake BROWN,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.71,0,92.71,Heat 1 Progression,107.93%,107.93%,2001,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Jake BROWN,2024 Seu World Cup 5 Heat 1 K1M Jake BROWN
2024 Seu World Cup 5 Heat 1 K1M 29,2024,Seu,World Cup 5,Heat 1,K1M,29,33,Michele PISTONI,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,91.08,2,93.08,Heat 1 Progression,106.03%,108.36%,2006,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Michele PISTONI,2024 Seu World Cup 5 Heat 1 K1M Michele PISTONI
2024 Seu World Cup 5 Heat 1 K1M 30,2024,Seu,World Cup 5,Heat 1,K1M,30,42,Maxime AUBERTIN,BEL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.38,0,93.38,Heat 1 Progression,108.71%,108.71%,2002,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Maxime AUBERTIN,2024 Seu World Cup 5 Heat 1 K1M Maxime AUBERTIN
2024 Seu World Cup 5 Heat 1 K1M 31,2024,Seu,World Cup 5,Heat 1,K1M,31,12,Gelindo CHIARELLO,SUI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.43,0,93.43,Heat 1 Progression,108.77%,108.77%,1998,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Gelindo CHIARELLO,2024 Seu World Cup 5 Heat 1 K1M Gelindo CHIARELLO
2024 Seu World Cup 5 Heat 1 K1M 32,2024,Seu,World Cup 5,Heat 1,K1M,32,51,Enrico DIETZ,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.74,0,93.74,Heat 1 Progression,109.13%,109.13%,2005,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Enrico DIETZ,2024 Seu World Cup 5 Heat 1 K1M Enrico DIETZ
2024 Seu World Cup 5 Heat 1 K1M 33,2024,Seu,World Cup 5,Heat 1,K1M,33,7,Anatole DELASSUS,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,91.77,2,93.77,Heat 1 Progression,106.83%,109.16%,2001,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Anatole DELASSUS,2024 Seu World Cup 5 Heat 1 K1M Anatole DELASSUS
2024 Seu World Cup 5 Heat 1 K1M 34,2024,Seu,World Cup 5,Heat 1,K1M,34,52,Mark CROSBEE,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.24,0,94.24,Heat 1 Progression,109.71%,109.71%,2004,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Mark CROSBEE,2024 Seu World Cup 5 Heat 1 K1M Mark CROSBEE
2024 Seu World Cup 5 Heat 1 K1M 35,2024,Seu,World Cup 5,Heat 1,K1M,35,46,Frederico ALVARENGA,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.47,0,94.47,Heat 1 Progression,109.98%,109.98%,1998,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Frederico ALVARENGA,2024 Seu World Cup 5 Heat 1 K1M Frederico ALVARENGA
2024 Seu World Cup 5 Heat 1 K1M 36,2024,Seu,World Cup 5,Heat 1,K1M,36,37,Lucas JACOB,POR,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.51,2,94.51,Heat 1 Progression,107.69%,110.02%,2000,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Lucas JACOB,2024 Seu World Cup 5 Heat 1 K1M Lucas JACOB
2024 Seu World Cup 5 Heat 1 K1M 37,2024,Seu,World Cup 5,Heat 1,K1M,37,45,Artem IVCHENKO,UKR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.83,0,94.83,Heat 1 Progression,110.40%,110.40%,2006,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Artem IVCHENKO,2024 Seu World Cup 5 Heat 1 K1M Artem IVCHENKO
2024 Seu World Cup 5 Heat 1 K1M 38,2024,Seu,World Cup 5,Heat 1,K1M,38,40,Yusuke MUTO,JPN,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,91.37,4,95.37,Heat 1 Progression,106.37%,111.02%,2001,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Yusuke MUTO,2024 Seu World Cup 5 Heat 1 K1M Yusuke MUTO
2024 Seu World Cup 5 Heat 1 K1M 39,2024,Seu,World Cup 5,Heat 1,K1M,39,28,Noel HENDRICK,IRL,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.43,2,95.43,Heat 1 Progression,108.77%,111.09%,1997,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Noel HENDRICK,2024 Seu World Cup 5 Heat 1 K1M Noel HENDRICK
2024 Seu World Cup 5 Heat 1 K1M 40,2024,Seu,World Cup 5,Heat 1,K1M,40,62,Martin CORNU,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97.13,0,97.13,Heat 1 Progression,113.07%,113.07%,2006,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Martin CORNU,2024 Seu World Cup 5 Heat 1 K1M Martin CORNU
2024 Seu World Cup 5 Heat 1 K1M 41,2024,Seu,World Cup 5,Heat 1,K1M,41,36,Fredrik WAHLEN,SWE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97.46,0,97.46,Heat 1 Progression,113.46%,113.46%,1988,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Fredrik WAHLEN,2024 Seu World Cup 5 Heat 1 K1M Fredrik WAHLEN
2024 Seu World Cup 5 Heat 1 K1M 42,2024,Seu,World Cup 5,Heat 1,K1M,42,35,Yuuki TANAKA,JPN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,93.81,4,97.81,Heat 1 Progression,109.21%,113.86%,2002,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Yuuki TANAKA,2024 Seu World Cup 5 Heat 1 K1M Yuuki TANAKA
2024 Seu World Cup 5 Heat 1 K1M 43,2024,Seu,World Cup 5,Heat 1,K1M,43,53,Thomas UKALOVIC,CRO,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,93.85,4,97.85,Heat 1 Progression,109.25%,113.91%,2002,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Thomas UKALOVIC,2024 Seu World Cup 5 Heat 1 K1M Thomas UKALOVIC
2024 Seu World Cup 5 Heat 1 K1M 44,2024,Seu,World Cup 5,Heat 1,K1M,44,43,Alistair MCCREERY,IRL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.1,0,98.1,Heat 1 Progression,114.20%,114.20%,1998,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Alistair MCCREERY,2024 Seu World Cup 5 Heat 1 K1M Alistair MCCREERY
2024 Seu World Cup 5 Heat 1 K1M 45,2024,Seu,World Cup 5,Heat 1,K1M,45,31,Erik HOLMER,SWE,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.85,4,99.85,Heat 1 Progression,111.58%,116.24%,1995,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Erik HOLMER,2024 Seu World Cup 5 Heat 1 K1M Erik HOLMER
2024 Seu World Cup 5 Heat 1 K1M 46,2024,Seu,World Cup 5,Heat 1,K1M,46,50,Richard RUMANSKY,SVK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,98.35,2,100.35,Heat 1 Progression,114.49%,116.82%,2005,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Richard RUMANSKY,2024 Seu World Cup 5 Heat 1 K1M Richard RUMANSKY
2024 Seu World Cup 5 Heat 1 K1M 47,2024,Seu,World Cup 5,Heat 1,K1M,47,56,Mark ZIELONKA,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101.25,0,101.25,Heat 1 Progression,117.87%,117.87%,2001,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Mark ZIELONKA,2024 Seu World Cup 5 Heat 1 K1M Mark ZIELONKA
2024 Seu World Cup 5 Heat 1 K1M 48,2024,Seu,World Cup 5,Heat 1,K1M,48,61,Koki KITAMURA,JPN,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,99.11,4,103.11,Heat 1 Progression,115.38%,120.03%,2003,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Koki KITAMURA,2024 Seu World Cup 5 Heat 1 K1M Koki KITAMURA
2024 Seu World Cup 5 Heat 1 K1M 49,2024,Seu,World Cup 5,Heat 1,K1M,49,34,Alex BALDONI,CAN,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99.56,4,103.56,Heat 1 Progression,115.90%,120.56%,2004,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Alex BALDONI,2024 Seu World Cup 5 Heat 1 K1M Alex BALDONI
2024 Seu World Cup 5 Heat 1 K1M 50,2024,Seu,World Cup 5,Heat 1,K1M,50,57,Salim JEMAI,TUN,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,2,-,-,-,-,98.57,6,104.57,Heat 1 Progression,114.75%,121.73%,2005,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Salim JEMAI,2024 Seu World Cup 5 Heat 1 K1M Salim JEMAI
2024 Seu World Cup 5 Heat 1 K1M 51,2024,Seu,World Cup 5,Heat 1,K1M,51,49,Trevor BOYD,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,100.78,4,104.78,Heat 1 Progression,117.32%,121.98%,1999,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Trevor BOYD,2024 Seu World Cup 5 Heat 1 K1M Trevor BOYD
2024 Seu World Cup 5 Heat 1 K1M 52,2024,Seu,World Cup 5,Heat 1,K1M,52,66,Klass Francisks ROZENTALS,LAT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2,-,106.67,4,110.67,Heat 1 Progression,124.18%,128.84%,,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Klass Francisks ROZENTALS,2024 Seu World Cup 5 Heat 1 K1M Klass Francisks ROZENTALS
2024 Seu World Cup 5 Heat 1 K1M 53,2024,Seu,World Cup 5,Heat 1,K1M,53,65,Arkhyp KRACHKO,UKR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,112.53,2,114.53,Heat 1 Progression,131.00%,133.33%,2010,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Arkhyp KRACHKO,2024 Seu World Cup 5 Heat 1 K1M Arkhyp KRACHKO
2024 Seu World Cup 5 Heat 1 K1M 54,2024,Seu,World Cup 5,Heat 1,K1M,54,64,Michal SMOLEN,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,87.19,50,137.19,Heat 1 Progression,101.50%,159.71%,1993,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Michal SMOLEN,2024 Seu World Cup 5 Heat 1 K1M Michal SMOLEN
2024 Seu World Cup 5 Heat 1 K1M 55,2024,Seu,World Cup 5,Heat 1,K1M,55,17,Mateusz POLACZYK,POL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,87.58,50,137.58,Heat 1 Progression,101.96%,160.16%,1988,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Mateusz POLACZYK,2024 Seu World Cup 5 Heat 1 K1M Mateusz POLACZYK
2024 Seu World Cup 5 Heat 1 K1M 56,2024,Seu,World Cup 5,Heat 1,K1M,56,63,Jun Yi ONG,SGP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,140.13,2,142.13,Heat 1 Progression,163.13%,165.46%,,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Jun Yi ONG,2024 Seu World Cup 5 Heat 1 K1M Jun Yi ONG
2024 Seu World Cup 5 Heat 1 K1M 57,2024,Seu,World Cup 5,Heat 1,K1M,57,29,Pedro GONCALVES,BRA,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,50,-,-,-,2,-,-,-,-,88.61,54,142.61,Heat 1 Progression,103.15%,166.02%,1993,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Pedro GONCALVES,2024 Seu World Cup 5 Heat 1 K1M Pedro GONCALVES
2024 Seu World Cup 5 Heat 1 K1M 58,2024,Seu,World Cup 5,Heat 1,K1M,58,44,Samuel CURTIS,IRL,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,93.22,52,145.22,Heat 1 Progression,108.52%,169.06%,1994,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Samuel CURTIS,2024 Seu World Cup 5 Heat 1 K1M Samuel CURTIS
2024 Seu World Cup 5 Heat 1 K1M 59,2024,Seu,World Cup 5,Heat 1,K1M,59,41,Filip STANKO,SVK,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.77,50,146.77,Heat 1 Progression,112.65%,170.86%,2005,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Filip STANKO,2024 Seu World Cup 5 Heat 1 K1M Filip STANKO
2024 Seu World Cup 5 Heat 1 K1M 60,2024,Seu,World Cup 5,Heat 1,K1M,60,39,Tyler WESTFALL,USA,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,97.23,52,149.23,Heat 1 Progression,113.19%,173.73%,1996,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Tyler WESTFALL,2024 Seu World Cup 5 Heat 1 K1M Tyler WESTFALL
2024 Seu World Cup 5 Heat 1 K1M 61,2024,Seu,World Cup 5,Heat 1,K1M,61,48,Moritz KREMSLEHNER,AUT,-,-,50,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,97.01,54,151.01,Heat 1 Progression,112.93%,175.80%,2005,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Moritz KREMSLEHNER,2024 Seu World Cup 5 Heat 1 K1M Moritz KREMSLEHNER
2024 Seu World Cup 5 Heat 1 K1M 62,2024,Seu,World Cup 5,Heat 1,K1M,62,59,Fernando REINOSO,MEX,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,2,-,114.28,52,166.28,Heat 1 Progression,133.04%,193.57%,2002,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Fernando REINOSO,2024 Seu World Cup 5 Heat 1 K1M Fernando REINOSO
2024 Seu World Cup 5 Heat 1 K1M 63,2024,Seu,World Cup 5,Heat 1,K1M,63,55,Kyler James LONG,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,50,-,-,116.86,54,170.86,Heat 1 Progression,136.04%,198.91%,,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Kyler James LONG,2024 Seu World Cup 5 Heat 1 K1M Kyler James LONG
2024 Seu World Cup 5 Heat 1 K1M 64,2024,Seu,World Cup 5,Heat 1,K1M,64,58,Pradhyumna Singh RATHOD,IND,-,-,2,-,-,-,-,2,-,-,-,-,50,-,2,-,-,-,2,-,2,2,-,2,-,128.63,64,192.63,Heat 1 Progression,149.74%,224.25%,,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Pradhyumna Singh RATHOD,2024 Seu World Cup 5 Heat 1 K1M Pradhyumna Singh RATHOD
2024 Seu World Cup 5 Heat 1 K1M 65,2024,Seu,World Cup 5,Heat 1,K1M,65,54,Manuel TRIPANO,ARG,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,50,-,50,50,50,96.75,202,298.75,Heat 1 Progression,112.63%,347.79%,2005,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Manuel TRIPANO,2024 Seu World Cup 5 Heat 1 K1M Manuel TRIPANO
2024 Seu World Cup 5 Heat 1 K1M 66,2024,Seu,World Cup 5,Heat 1,K1M,66,47,Serhii SOVKO,UKR,-,-,-,-,-,-,50,50,-,-,50,-,50,-,2,2,2,-,2,-,-,-,-,-,-,99.09,208,307.09,Heat 1 Progression,115.36%,357.50%,2005,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Serhii SOVKO,2024 Seu World Cup 5 Heat 1 K1M Serhii SOVKO
2024 Seu World Cup 5 Heat 2 K1M 1,2024,Seu,World Cup 5,Heat 2,K1M,1,17,Mateusz POLACZYK,POL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,86.62,2,88.62,Heat 1 Progression,100.00%,100.00%,1988,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Mateusz POLACZYK,2024 Seu World Cup 5 Heat 2 K1M Mateusz POLACZYK
2024 Seu World Cup 5 Heat 2 K1M 2,2024,Seu,World Cup 5,Heat 2,K1M,2,7,Anatole DELASSUS,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88.69,0,88.69,Heat 1 Progression,102.39%,100.08%,2001,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Anatole DELASSUS,2024 Seu World Cup 5 Heat 2 K1M Anatole DELASSUS
2024 Seu World Cup 5 Heat 2 K1M 3,2024,Seu,World Cup 5,Heat 2,K1M,3,62,Martin CORNU,FRA,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87.8,2,89.8,Heat 1 Progression,101.36%,101.33%,2006,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Martin CORNU,2024 Seu World Cup 5 Heat 2 K1M Martin CORNU
2024 Seu World Cup 5 Heat 2 K1M 4,2024,Seu,World Cup 5,Heat 2,K1M,4,64,Michal SMOLEN,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.13,0,90.13,Heat 1 Progression,104.05%,101.70%,1993,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Michal SMOLEN,2024 Seu World Cup 5 Heat 2 K1M Michal SMOLEN
2024 Seu World Cup 5 Heat 2 K1M 5,2024,Seu,World Cup 5,Heat 2,K1M,5,31,Erik HOLMER,SWE,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,89.62,2,91.62,Heat 1 Progression,103.46%,103.39%,1995,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Erik HOLMER,2024 Seu World Cup 5 Heat 2 K1M Erik HOLMER
2024 Seu World Cup 5 Heat 2 K1M 6,2024,Seu,World Cup 5,Heat 2,K1M,6,12,Gelindo CHIARELLO,SUI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.73,0,91.73,Heat 1 Progression,105.90%,103.51%,1998,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Gelindo CHIARELLO,2024 Seu World Cup 5 Heat 2 K1M Gelindo CHIARELLO
2024 Seu World Cup 5 Heat 2 K1M 7,2024,Seu,World Cup 5,Heat 2,K1M,7,54,Manuel TRIPANO,ARG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.01,0,92.01,Heat 1 Progression,106.22%,103.83%,2005,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Manuel TRIPANO,2024 Seu World Cup 5 Heat 2 K1M Manuel TRIPANO
2024 Seu World Cup 5 Heat 2 K1M 8,2024,Seu,World Cup 5,Heat 2,K1M,8,46,Frederico ALVARENGA,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.65,0,92.65,Heat 1 Progression,106.96%,104.55%,1998,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Frederico ALVARENGA,2024 Seu World Cup 5 Heat 2 K1M Frederico ALVARENGA
2024 Seu World Cup 5 Heat 2 K1M 9,2024,Seu,World Cup 5,Heat 2,K1M,9,40,Yusuke MUTO,JPN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,91.01,2,93.01,Heat 1 Progression,105.07%,104.95%,2001,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Yusuke MUTO,2024 Seu World Cup 5 Heat 2 K1M Yusuke MUTO
2024 Seu World Cup 5 Heat 2 K1M 10,2024,Seu,World Cup 5,Heat 2,K1M,10,41,Filip STANKO,SVK,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.17,2,94.17,Heat 1 Progression,106.41%,106.26%,2005,2024 Seu World Cup 5,2024 Seu World Cup 5 K1M Filip STANKO,2024 Seu World Cup 5 Heat 2 K1M Filip STANKO
